BOROUGH,SITE_NUMBER,AD,ED
2,11757,82,111
3,B0107,57,14
1,10119,75,3
2,11243,81,76
1,M0142,71,14
3,11535,50,13
3,B0388,41,41
3,B0098,55,100
1,M0072,69,44
3,10168,51,14
5,10709,63,70
3,B0107,57,43
1,10401,76,20
4,Q0193,26,29
2,X0104,78,51
3,10058,56,78
1,M0072,69,43
3,B0126,57,16
4,Q0175,39,22
1,M0155,75,23
1,M0169,71,70
1,10958,76,55
3,B0282,58,44
5,S0024,62,43
4,Q0025,31,25
4,Q0184,30,41
3,11237,54,80
2,10212,82,26
2,X0130,81,16
3,B0384,45,57
5,S0076,64,46
4,Q0252,27,71
3,11231,43,36
2,11582,77,5
3,B0223,54,70
5,S0006,61,43
2,X0022,79,41
3,10052,51,59
1,10517,76,82
3,B0243,51,9
3,11440,51,45
4,Q0111,36,1
2,X0037,80,84
3,B0337,43,58
1,10837,76,27
2,10212,82,117
3,B0033,48,58
1,M0050,76,44
1,M0121,70,60
3,B0379,58,61
5,S0032,62,68
2,X0207,80,92
1,M0265,66,52
2,X0205,79,52
4,11159,39,11
2,X0153,83,49
2,X0141,77,50
2,X0013,77,56
1,M0152,67,49
1,M0289,69,24
4,10208,24,53
4,Q0009,35,57
1,M0223,68,41
3,10122,47,56
3,B0277,60,54
2,10077,87,41
3,B0372,60,82
3,10681,43,79
2,X0130,81,103
3,11472,59,61
3,B0001,44,10
3,11203,53,68
4,Q0044,23,58
1,11739,75,2
3,10857,45,45
3,B0383,41,46
4,Q0119,24,24
4,Q0213,37,61
2,11738,79,16
4,11041,40,30
3,B0010,55,20
4,Q0142,40,48
4,Q0047,32,30
3,11421,43,66
4,Q0056,40,14
2,11758,82,81
3,B0294,52,41
3,B0017,58,16
4,Q0112,36,67
2,X0137,81,92
2,10949,82,1
3,B0076,41,11
1,M0072,69,42
2,X0014,83,60
2,X0092,86,55
4,10864,36,17
3,B0090,52,66
2,X0166,81,66
5,S0031,63,38
3,B0300,49,21
1,M0290,65,49
3,11454,41,19
3,B0390,59,84
1,11529,67,20
5,S0022,64,51
3,B0197,46,33
3,11492,58,2
4,Q0115,25,28
3,B0055,55,26
3,11203,53,66
3,B0348,64,91
2,X0203,85,73
4,Q0048,40,41
2,X0221,86,42
4,Q0108,33,62
3,10053,54,35
2,11757,82,69
4,10185,24,77
2,X0229,82,5
5,S0048,62,35
1,M0191,74,15
1,M0205,65,57
5,11505,61,1
4,Q0097,29,37
4,Q0071,32,57
3,B0027,53,25
3,B0286,53,27
2,X0207,80,52
4,Q0198,30,49
4,Q0197,31,51
4,11369,35,53
4,Q0084,32,60
2,10603,83,21
3,B0323,57,84
3,B0090,52,92
1,M0171,76,57
3,B0042,49,49
1,10657,65,2
3,11419,45,26
2,11451,84,21
3,B0236,44,3
3,B0284,60,42
1,10432,67,84
2,11759,82,106
1,11489,68,74
4,Q0275,27,82
3,B0273,48,33
3,10984,41,31
2,X0204,85,81
3,B0369,55,6
1,M0324,70,79
1,10176,73,39
1,11748,67,86
4,Q0202,26,40
5,11240,61,54
3,11229,57,58
